Loan_ID,Age,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Previous_Loan_Taken,Cibil_Score,Property_Area,Customer_Bandwith,Tenure,Loan_Status
LP001002,43,Male,No,3,Graduate,No,54005,334113,Yes,668,Urban,Good,43,No
LP001003,57,Male,Yes,2,Graduate,No,28817,736026,Yes,684,Rural,Good,13,Yes
LP001005,25,Male,Yes,3,Graduate,Yes,99939,712432,Yes,788,Urban,Good,10,No
LP001006,44,Male,Yes,1,Not Graduate,No,38470,267161,Yes,888,Urban,Good,9,No
LP001008,58,Male,No,1,Graduate,No,28991,402474,Yes,703,Urban,Good,11,No
LP001011,34,Male,Yes,0,Graduate,Yes,65843,243599,Yes,688,Urban,Good,34,No
LP001013,18,Male,Yes,4,Not Graduate,No,46598,212840,Yes,786,Urban,Good,19,No
LP001014,54,Male,Yes,1,Graduate,No,53213,368715,No,447,Semiurban,Bad,17,Yes
LP001018,43,Male,Yes,0,Graduate,No,74895,699918,Yes,605,Urban,Medium,18,No
LP001020,33,Male,Yes,0,Graduate,No,57348,347577,Yes,378,Semiurban,Bad,18,Yes
LP001024,34,Male,Yes,3,Graduate,No,25837,385127,Yes,761,Urban,Good,45,No
LP001027,25,Male,Yes,4,Graduate,,33603,867157,Yes,792,Urban,Good,35,No
LP001028,33,Male,Yes,1,Graduate,No,75192,661005,Yes,829,Urban,Good,11,No
LP001029,32,Male,No,4,Graduate,No,43208,309303,Yes,585,Rural,Medium,39,Yes
LP001030,46,Male,Yes,0,Graduate,No,89500,785884,Yes,859,Urban,Good,19,No
LP001032,40,Male,No,1,Graduate,No,54298,390135,Yes,855,Urban,Good,44,No
LP001034,59,Male,No,5,Not Graduate,No,67312,382271,No,811,Urban,Good,42,No
LP001036,45,Female,No,2,Graduate,No,27568,830422,No,659,Urban,Good,35,Yes
LP001038,46,Male,Yes,3,Not Graduate,No,64627,208847,Yes,427,Rural,Bad,25,Yes
LP001041,34,Male,Yes,1,Graduate,,62204,404009,Yes,699,Urban,Good,35,No
LP001043,39,Male,Yes,3,Not Graduate,No,57258,250356,No,658,Urban,Good,30,Yes
LP001046,30,Male,Yes,0,Graduate,No,87162,405614,Yes,840,Urban,Good,12,No
LP001047,36,Male,Yes,3,Not Graduate,No,82725,571498,No,569,Semiurban,Medium,7,Yes
LP001050,60,,Yes,1,Not Graduate,No,70320,342487,No,762,Rural,Good,14,Yes
LP001052,60,Male,Yes,2,Graduate,,52763,529654,No,482,Semiurban,Medium,46,Yes
LP001066,21,Male,Yes,0,Graduate,Yes,95485,280912,Yes,825,Semiurban,Good,19,No
LP001068,30,Male,Yes,1,Graduate,No,52035,434874,Yes,778,Semiurban,Good,11,No
LP001073,23,Male,Yes,5,Not Graduate,No,80886,690612,Yes,640,Urban,Medium,23,No
LP001086,26,Male,No,0,Not Graduate,No,32465,546959,Yes,651,Urban,Good,35,Yes
LP001087,52,Female,No,5,Graduate,,65753,320773,Yes,725,Semiurban,Good,39,No
LP001091,36,Male,Yes,4,Graduate,,79930,472511,No,305,Urban,Bad,19,Yes
LP001095,47,Male,No,4,Graduate,No,51729,632909,Yes,776,Urban,Good,8,Yes
LP001097,21,Male,No,0,Graduate,Yes,72294,876913,Yes,626,Rural,Medium,30,Yes
LP001098,59,Male,Yes,1,Graduate,No,68402,716371,Yes,767,Semiurban,Good,12,No
LP001100,36,Male,No,4,Graduate,No,61779,692704,Yes,466,Rural,Medium,45,Yes
LP001106,22,Male,Yes,5,Graduate,No,27763,100016,Yes,631,Urban,Medium,17,No
LP001109,39,Male,Yes,5,Graduate,No,44967,828930,No,564,Urban,Medium,7,Yes
LP001112,31,Female,Yes,0,Graduate,No,56576,222391,Yes,805,Semiurban,Good,42,No
LP001114,58,Male,No,4,Graduate,No,45518,200778,Yes,719,Urban,Good,17,No
LP001116,59,Male,No,3,Not Graduate,No,93968,664798,Yes,775,Semiurban,Good,5,No
LP001119,55,Male,No,2,Graduate,No,29707,978950,Yes,369,Urban,Bad,24,Yes
LP001120,27,Male,No,3,Graduate,No,49769,140006,Yes,736,Urban,Good,38,No
LP001123,51,Male,Yes,1,Graduate,No,21663,279391,No,678,Urban,Good,26,No
LP001131,30,Male,Yes,0,Graduate,No,34221,778315,Yes,792,Semiurban,Good,12,No
LP001136,18,Male,Yes,0,Not Graduate,Yes,40142,876406,Yes,827,Urban,Good,8,No
LP001137,24,Female,No,0,Graduate,No,44823,252269,Yes,609,Urban,Medium,18,No
LP001138,47,Male,Yes,0,Graduate,No,25586,352982,Yes,887,Urban,Good,22,No
LP001144,48,Male,Yes,3,Graduate,No,35657,910177,Yes,845,Urban,Good,15,No
LP001146,37,Female,Yes,4,Graduate,No,27086,670975,No,856,Urban,Good,34,Yes
LP001151,43,Female,No,3,Graduate,No,79709,908614,Yes,671,Semiurban,Good,27,No
LP001155,46,Female,Yes,4,Not Graduate,No,64631,187616,Yes,813,Semiurban,Good,11,No
LP001157,48,Female,No,4,Graduate,No,58171,453384,Yes,673,Semiurban,Good,22,No
